Name,Team,IP,H,SO,BB,W,SV,ERA,playerid
Wade LeBlanc,- - -,49,56,29,17,0,0,4.41,5221
Yusei Kikuchi,SEA,157,145,163,62,7,0,4.41,20633
Antonio Senzatela,COL,156.2,178,105,32,4,0,4.42,15488
Kris Bubic,KCR,130,121,114,59,6,0,4.43,21455
Hansel Robles,- - -,69,58,76,37,3,14,4.43,11801
Kyle Crick,PIT,24.1,14,21,19,1,0,4.44,13182
Merrill Kelly,ARI,158,163,130,41,7,0,4.44,11156
Joey Lucchesi,NYM,38.1,34,41,11,1,0,4.46,19320
Taijuan Walker,NYM,159,133,146,55,7,0,4.47,11836
Drew Smyly,ATL,126.2,133,117,41,11,0,4.48,11760
David Robertson,TBR,12,11,16,4,0,0,4.5,8241
Touki Toussaint,ATL,50,43,48,22,3,0,4.5,16929
Brandon Bielak,HOU,50,48,46,21,3,1,4.5,19866
Marcos Diplan,BAL,30,22,24,15,2,0,4.5,17583
Dane Dunning,TEX,117.2,126,114,43,5,0,4.51,19409
Tylor Megill,NYM,89.2,88,99,27,4,0,4.52,21318
Austin Gomber,COL,115.1,102,113,41,9,0,4.53,16561
Tyler Anderson,- - -,167,170,134,38,7,0,4.53,12880
Nick Pivetta,BOS,155,137,175,65,9,1,4.53,15454
Sean Doolittle,- - -,49.2,50,53,23,3,1,4.53,1581
Nick Neidert,MIA,35.2,31,21,23,1,0,4.54,18699
Aaron Ashby,MIL,31.2,25,39,12,3,1,4.55,23550
Tayler Saucedo,TOR,25.2,22,19,10,0,0,4.56,17888
Jose Quijada,LAA,25.2,20,38,15,0,0,4.56,19200
Jeff Hoffman,CIN,73,70,79,45,3,0,4.56,17432
Ryan Helsley,STL,47.1,40,47,27,6,1,4.56,18138
Stephen Strasburg,WSN,21.2,16,21,14,1,0,4.57,10131
Domingo German,NYY,98.1,89,98,27,4,0,4.58,17149
Adbert Alzolay,CHC,125.2,112,128,34,5,1,4.58,17859
Brusdar Graterol,LAD,33.1,34,27,13,3,0,4.59,20367
Jon Gray,COL,149,140,157,58,8,0,4.59,14916
Jaime Barria,LAA,56.2,70,35,19,2,0,4.61,18356
Chris Mazza,TBR,27.1,26,21,7,0,1,4.61,14151
Anthony Misiewicz,SEA,54.2,61,53,15,5,0,4.61,18152
Taylor Williams,- - -,11.2,12,9,8,0,0,4.63,14899
Seth Elledge,STL,11.2,13,11,7,0,0,4.63,19766
Aaron Nola,PHI,180.2,165,223,39,9,0,4.63,16149
Ross Detwiler,- - -,52.1,44,62,20,3,0,4.64,2859
Kenta Maeda,MIN,106.1,106,113,32,6,0,4.66,18498
Chris Archer,TBR,19.1,18,21,8,1,0,4.66,6345
Taylor Hearn,TEX,104.1,96,92,42,6,0,4.66,18325
Joely Rodriguez,- - -,46.1,53,47,18,2,1,4.66,11487
Zach Plesac,CLE,142.2,137,100,34,10,0,4.67,19979
Sergio Romo,OAK,61.2,56,60,21,1,3,4.67,9817
Madison Bumgarner,ARI,146.1,134,124,39,7,0,4.67,5524
Logan Gilbert,SEA,119.1,112,128,28,6,0,4.68,22250
Ervin Santana,KCR,65.1,65,52,22,2,0,4.68,3200
Lewis Thorpe,MIN,15.1,14,6,7,0,0,4.7,15906
Connor Overton,- - -,15.1,14,15,5,0,0,4.7,18376
A.J. Alexy,TEX,23,13,17,17,3,0,4.7,22343
Justin Garza,CLE,28.2,27,29,18,2,0,4.71,19784
Jon Lester,- - -,141.1,159,91,55,7,0,4.71,4930
Phil Maton,- - -,66.2,64,85,32,6,0,4.73,18064
Sean Newcomb,ATL,32.1,28,43,27,2,1,4.73,16943
Tyler Kinley,COL,70.1,59,68,26,3,0,4.73,18297
Vladimir Gutierrez,CIN,114,115,88,46,9,0,4.74,19278
Martin Perez,BOS,114,136,97,36,7,0,4.74,6902
Eduardo Rodriguez,BOS,157.2,172,185,47,13,0,4.74,13164
Luke Farrell,MIN,24.2,28,25,13,1,0,4.74,15101
Anthony Castro,TOR,24.2,23,32,8,1,1,4.74,19789
Andrew Miller,STL,36,41,40,16,0,0,4.75,6785
Antonio Santos,COL,11.1,9,10,5,0,0,4.76,20383
Kyle Hendricks,CHC,181,200,131,44,14,0,4.77,12049
Trent Thornton,TOR,49,54,52,16,1,0,4.78,17948
Brooks Raley,HOU,49,43,65,16,2,2,4.78,10061
Ross Stripling,TOR,101.1,99,94,30,5,0,4.8,13273
Chad Kuhl,PIT,80.1,73,75,42,5,0,4.82,14975
Jimmy Herget,- - -,18.2,20,20,4,2,0,4.82,17556
Caleb Smith,ARI,113.2,93,124,63,4,0,4.83,14875
Emilio Pagan,SDP,63.1,56,69,18,4,0,4.83,14771
Julian Merryweather,TOR,13,13,12,4,0,2,4.85,16703
Greg Holland,KCR,55.2,49,53,26,3,8,4.85,7196
Daniel Castano,MIA,20.1,22,13,8,0,0,4.87,19805
Garrett Richards,BOS,136.2,158,115,60,7,3,4.87,9784
Matt Peacock,ARI,86.1,107,50,28,5,0,4.9,20339
Brady Singer,KCR,128.1,146,131,53,5,0,4.91,25377
Jon Heasley,KCR,14.2,15,6,3,1,0,4.91,22224
Johan Oviedo,STL,62.1,61,51,37,0,0,4.91,22487
Humberto Castellanos,ARI,45.2,48,29,15,2,0,4.93,21183
Keynan Middleton,SEA,31,30,24,19,1,4,4.94,15264
Andrew Wantz,LAA,27.1,23,38,11,1,0,4.94,24933
Ryan Borucki,TOR,23.2,18,21,11,3,0,4.94,16350
Triston McKenzie,CLE,120,84,136,58,5,0,4.95,18000
J.D. Hammer,PHI,20,21,22,11,1,0,4.95,19548
Reiss Knehr,SDP,29,23,20,20,1,0,4.97,21541
Cristopher Sanchez,PHI,12.2,16,13,7,1,0,4.97,20778
Taylor Clarke,ARI,43.1,52,39,14,1,0,4.98,17611
Cody Poteet,MIA,30.2,25,32,16,2,0,4.99,18769
Joe Smith,- - -,39.2,47,34,8,4,0,4.99,3281
Kyle Zimmer,KCR,54,46,46,30,4,2,5,14169
Nick Mears,PIT,23.1,25,23,13,1,0,5.01,25376
Josh Osich,CIN,14.1,15,9,5,2,1,5.02,11528
Braxton Garrett,MIA,34,42,32,20,1,0,5.03,21844
Andre Scrubb,HOU,19.2,15,21,14,1,0,5.03,20329
Bruce Zimmermann,BAL,64.1,75,56,22,4,0,5.04,20370
Cam Bedrosian,- - -,25,27,23,17,0,0,5.04,13360
Mike Minor,KCR,158.2,156,149,41,8,0,5.05,10021
Michael Wacha,TBR,124.2,132,121,31,3,0,5.05,14078
Nick Wittgren,CLE,62.1,61,61,17,2,1,5.05,15594
Joakim Soria,- - -,37.1,39,40,12,1,6,5.06,6941
Keone Kela,SDP,10.2,11,13,3,2,0,5.06,14696
Alec Mills,CHC,119,137,87,34,6,1,5.07,13834
Chris Paddack,SDP,108.1,115,99,22,7,0,5.07,20099
Derek Holland,DET,49.2,58,51,20,3,0,5.07,4141
Josh Fleming,TBR,104.1,110,65,31,10,1,5.09,20418
Ryan Yarbrough,TBR,155,163,117,27,9,0,5.11,16502
Demarcus Evans,TEX,26.1,24,33,16,0,0,5.13,21087
Austin Davis,- - -,26.1,24,28,12,1,0,5.13,17117
Patrick Murphy,- - -,28,31,29,10,0,0,5.14,19712
Jordan Lyles,TEX,180,194,146,56,10,0,5.15,7593
Albert Abreu,NYY,36.2,27,35,19,2,1,5.15,17485
Sean Poppen,- - -,22.2,31,26,9,1,1,5.16,19583
Tanner Scott,BAL,54,48,70,37,5,0,5.17,17586
Daniel Bard,COL,65.2,69,80,36,7,20,5.21,7115
Matt Andriese,- - -,48.1,65,50,13,2,1,5.21,12022
Dan Winkler,CHC,39.2,32,40,30,1,0,5.22,12237
Sean Reid-Foley,NYM,20.2,22,26,9,2,0,5.23,17034
Jakob Junis,KCR,39.1,43,41,12,2,0,5.26,13619
Rex Brothers,CHC,53,41,75,35,3,1,5.26,9794
Kohl Stewart,CHC,13.2,17,11,6,1,0,5.27,15502
Dallas Keuchel,CHW,162,189,95,59,9,0,5.28,9434
Justin Wilson,- - -,34,32,29,16,1,0,5.29,4301
Ryan Weathers,SDP,94.2,101,72,30,4,1,5.32,23796
Austin Voth,WSN,57.1,57,59,28,4,0,5.34,15047
Eli Morgan,CLE,89.1,90,81,22,5,0,5.34,20203
Bryse Wilson,- - -,74,85,46,22,3,0,5.35,19990
JT Brubaker,PIT,124.1,123,129,38,5,0,5.36,17578
Brad Keller,KCR,133.2,158,120,64,8,0,5.39,15734
Zack Burdi,- - -,10,13,7,5,0,0,5.4,19159
Burch Smith,OAK,43.1,49,28,11,1,0,5.4,12784
Hoby Milner,MIL,21.2,30,30,3,0,0,5.4,13346
Yennsy Diaz,NYM,25,25,21,12,0,0,5.4,20218
Jordan Hicks,STL,10,5,10,10,0,0,5.4,19618
Kolby Allard,TEX,124.2,128,104,31,3,0,5.41,18694
Mike Foltynewicz,TEX,139,139,97,36,2,0,5.44,10811
Brandon Workman,- - -,28,36,25,21,1,0,5.46,11428
Erick Fedde,WSN,133.1,144,128,48,7,0,5.47,17425
Josiah Gray,- - -,70.2,63,76,33,2,0,5.48,24580
Wil Crowe,PIT,116.2,126,111,57,4,0,5.48,19800
Mike Wright Jr.,CHW,18,17,11,11,0,0,5.5,12586
