Name,Team,IP,H,SO,BB,W,SV,ERA,playerid
Anthony Swarzak,- - -,12.1,20,9,1,0,0,9.49,7466
Shawn Morimando,MIA,10.1,18,9,5,0,0,9.58,13606
Josh Lindblom,MIL,16.2,23,17,10,0,0,9.72,7882
David Hess,- - -,20,32,18,11,2,0,9.9,16130
Mike Baumann,BAL,10,13,5,6,1,0,9.9,20206
Jake Jewell,CHC,10,18,10,5,0,0,9.9,16958
Wyatt Mills,SEA,12.2,19,11,7,0,0,9.95,20010
Corbin Martin,ARI,16,23,13,14,0,0,10.69,19884
Jackson Kowar,KCR,30.1,43,29,20,0,0,11.27,21549
Konner Wade,BAL,12.1,23,11,5,0,0,11.68,14655
Edgar Garcia,- - -,14.2,19,12,8,0,0,12.27,19276
Jon Duplantier,ARI,13,19,12,8,0,0,13.15,19546
Tyler Webb,STL,16.1,22,14,19,0,0,13.22,14974
Alec Bettinger,MIL,10,18,5,3,0,0,13.5,20312
Beau Burrows,- - -,11,16,8,10,0,0,13.91,18873
Brooks Kriske,- - -,11.1,17,11,6,2,0,14.29,21189
