Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Jon Harris,TOR,25,2,2,9.00001603,6,5,0,0,0,0,,17,85,30,17,17,5,3,0,2,2,0,20,sa658929
C.J. Saylor,STL,25,2,3,5.25,28,0,0,0,1,1,,36,160,37,22,21,3,18,0,3,3,2,39,sa658930
Joseph Shaw,NYM,25,2,4,3.355932203,31,3,0,0,1,3,,59,262,56,29,22,4,26,1,5,5,2,65,sa658941
Jose Cuas,ARI,25,6,3,1.599998915,26,0,0,0,10,4,,45,177,30,10,8,2,13,1,3,6,0,35,sa658962
Jackson McClelland,TOR,24,0,2,3.767443949,43,0,0,0,1,1,,57.1,243,45,28,24,6,32,0,2,6,0,56,sa659000
Brad Markey,CIN,27,5,7,6.329670462,27,14,0,0,0,1,,91,403,107,70,64,17,27,1,3,3,2,62,sa659004
Clate Schmidt,CIN,25,3,2,4.064518005,30,4,0,0,2,1,,62,277,62,32,28,8,33,0,4,2,0,50,sa659047
Tyler Watson,CHW,26,0,1,9.878024425,10,0,0,0,1,1,,13.2,70,16,16,15,1,7,0,5,3,0,13,sa659063
Jonathan Dziedzic,KCR,28,3,3,5.245717144,25,5,0,0,1,0,,58.1,263,65,37,34,13,32,1,3,0,0,35,sa659070
Matt Withrow,ATL,25,4,4,4.021279044,19,10,0,0,0,0,,47,204,41,28,21,2,22,0,4,3,0,51,sa659074
Nolan Long,LAD,25,5,1,2.285714286,40,1,0,0,6,2,,63,268,38,21,16,7,39,0,3,4,0,81,sa659265
Sean McLaughlin,ATL,25,3,5,2.963412911,35,0,0,0,4,2,,54.2,244,61,29,18,3,20,0,2,7,1,49,sa659266
Justin Dillon,TOR,25,10,4,3.629032258,26,20,0,0,1,0,,124,520,117,58,50,14,30,0,13,7,0,103,sa659283
Shao-Ching Chiang,CLE,25,9,9,5.152671756,26,26,1,0,0,0,,131,599,144,86,75,19,57,0,11,17,2,128,sa659598
Francisco Jimenez,BAL,24,8,1,3.119520656,37,0,0,0,1,1,,83.2,348,74,33,29,12,26,2,2,3,0,81,sa659658
Joshua Torres,NYM,25,2,2,6.545454545,21,2,0,0,0,2,,33,150,41,26,24,8,9,0,0,1,0,34,sa659907
Luis Cedeno,PHI,24,0,1,2.892856632,8,1,0,0,0,1,,18.2,82,12,9,6,1,13,0,3,1,0,18,sa659945
Mario Sanchez,WSN,24,10,7,3.816742931,27,22,1,0,0,0,,127.1,518,120,61,54,20,23,0,4,2,1,118,sa691863
Willy Ortiz,TOR,23,3,5,5.833333333,16,4,0,0,0,1,,54,236,53,36,35,7,24,0,2,2,2,44,sa701548
Sam Lewis,ARI,27,4,3,2.304879523,21,8,0,0,0,0,,54.2,218,38,17,14,3,20,0,4,2,0,62,sa701852
Joe Broussard,LAD,28,1,2,5.449546338,26,3,0,0,0,0,,36.1,161,38,24,22,5,15,0,2,3,0,35,sa708442
Evan Mitchell,CLE,27,2,7,8.664178488,14,8,0,0,0,1,,44.2,216,67,47,43,4,19,1,3,2,0,30,sa708969
Jake Kalish,KCR,27,8,8,4.864217072,27,11,0,0,2,1,,127.2,543,137,78,69,26,26,0,5,3,0,102,sa709032
Dylan Davis,SFG,25,0,0,4.909097719,17,0,0,0,3,1,,22,105,19,17,12,1,14,0,4,8,0,14,sa709037
Trent Szkutnik,DET,25,1,3,4.478050989,43,4,0,0,1,4,,68.1,303,69,40,34,7,33,0,3,3,0,67,sa709586
Jose Lopez,CIN,25,2,4,6.535032274,13,10,1,0,0,0,,52.1,246,65,40,38,13,27,0,5,0,1,48,sa709715
Edgar Arredondo,TEX,22,7,3,4.174355829,20,19,0,0,0,0,,101.1,439,117,48,47,11,28,1,11,7,0,75,sa732750
Alexis Rivero,PHI,24,2,3,5.785720542,15,4,0,0,1,1,,28,124,29,18,18,6,13,2,4,1,0,19,sa735860
Michael Santos,LAA,24,3,4,5.547941364,14,3,0,0,1,0,,48.2,209,55,35,30,6,16,0,1,4,0,40,sa736667
Eric Marinez,OAK,23,5,2,4.108697909,45,0,0,0,11,1,,61.1,269,45,30,28,2,35,3,7,14,1,85,sa736686
Luis Jimenez,CLE,24,1,1,1.8,8,0,0,0,0,1,,10,40,7,4,2,0,3,0,2,3,0,15,sa736701
Raffi Vizcaino,SFG,23,1,5,3.159572865,43,0,0,0,7,1,,62.2,266,43,26,22,3,35,1,3,9,0,74,sa736742
Carlos Belen,SDP,23,2,3,4.123150772,49,0,0,0,5,2,,67.2,298,67,37,31,6,18,2,10,13,3,73,sa736746
Emmanuel Ramirez,SDP,24,8,8,6.193295742,27,21,0,0,1,0,,129.1,571,143,95,89,29,50,1,3,8,2,116,sa736752
Emilio Vargas,ARI,22,5,5,3.843749924,20,20,0,0,0,0,,96,394,83,44,41,11,25,0,6,3,0,82,sa736761
Francisco Rios,TOR,24,0,0,6.187488291,9,0,0,0,0,0,,16,71,21,14,11,2,4,1,1,0,0,10,sa736833
Dedgar Jimenez,BOS,23,4,6,4.628569505,31,14,0,0,10,0,,93.1,410,85,51,48,11,51,0,7,5,0,81,sa736925
Julio Pinto,CIN,23,3,3,5.170218169,42,0,0,0,5,4,,62.2,295,70,39,36,5,40,3,7,9,2,71,sa736965
Werner Leal,TEX,23,3,1,0.937500556,24,0,0,0,4,1,,48,180,29,7,5,1,11,0,3,1,0,56,sa737001
Junior Garcia,ARI,23,3,1,2.53125,23,0,0,0,2,0,,32,135,24,10,9,1,16,0,2,4,0,41,sa737032
Oscar De La Cruz,CHC,24,5,5,3.643599963,34,11,0,0,2,2,,96.1,408,79,43,39,8,34,0,13,2,1,105,sa737037
Wendolyn Bautista,CIN,26,6,7,4.764708696,35,15,1,0,6,0,,107.2,465,126,63,57,13,26,2,0,6,2,107,sa737042
Luis Reyes,WSN,24,5,5,4.813041243,31,7,0,0,0,0,,76.2,338,69,46,41,2,35,0,5,5,0,78,sa737048
Daniel Gonzalez,BOS,23,6,10,4.360609606,26,26,0,0,0,0,,150.2,628,164,78,73,17,31,0,2,5,1,101,sa737056
Jesus Zambrano,OAK,22,5,1,1.472725958,43,1,0,0,9,1,,73.1,291,60,16,12,3,21,2,0,4,0,63,sa737066
Manuel Rondon,CHC,24,3,6,4.5,33,0,0,0,2,4,,50,222,53,28,25,1,26,1,2,1,0,37,sa737083
Eduardo Del Rosario,LAA,24,3,1,4.623288298,28,0,0,0,2,1,,48.2,210,45,25,25,3,26,0,2,9,1,41,sa737089
Algenis Martinez,BOS,25,1,0,2.872334248,9,0,0,0,0,0,,15.2,64,11,5,5,0,8,0,0,2,2,11,sa737233
Olbis Parra,SFG,24,7,2,1.951807341,39,0,0,0,3,1,,55.1,240,50,24,12,3,24,6,3,4,2,61,sa737234
Raynel Espinal,NYY,27,5,7,4.32,18,12,1,0,0,1,,75,311,73,37,36,10,22,1,4,1,1,79,sa737238
Kevin Escorcia,CHW,24,2,2,4.330192575,29,0,0,0,0,2,,35.1,159,38,20,17,2,21,1,4,5,0,37,sa737256
Enrique De Los Rios,CHC,24,1,3,1.748201568,19,2,0,0,1,1,,46.1,185,43,15,9,3,10,0,1,1,0,34,sa737281
Deivy Mendez,SDP,23,2,1,4.2,25,0,0,0,6,3,,30,141,32,19,14,0,14,1,2,8,0,33,sa737357
Gerson Garabito,KCR,23,6,12,3.765957447,26,26,0,0,0,0,,141,628,148,64,59,13,60,1,10,8,1,113,sa737361
Darwin Ramos,NYM,23,4,2,2.204079423,42,1,0,0,1,2,,65.1,277,61,27,16,3,23,2,4,3,2,61,sa737380
Luis Araujo,CLE,22,3,4,4.595744681,31,0,0,0,2,3,,47,214,44,30,24,1,24,1,5,4,1,57,sa737446
Ofreidy Gomez,KCR,23,7,11,4.325571354,28,22,1,0,0,1,,129,573,131,72,62,14,58,1,16,11,1,119,sa737451
Alexander Guillen,COL,23,2,2,1.526086248,37,0,0,0,1,1,,76.2,300,50,20,13,4,21,0,1,4,0,91,sa737454
Salvador Justo,COL,24,3,3,8.879188948,44,0,0,0,8,5,,49.2,237,68,54,49,14,24,0,1,3,0,54,sa737459
