Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Keyvius Sampson,SFG,28,1,3,5.094338706,6,5,0,0,0,0,,17.2,77,18,11,10,1,6,0,0,1,0,18,10039
Tyler Matzek,ARI,28,0,0,7.2,9,0,0,0,0,0,,15,68,12,13,12,1,10,0,1,2,0,21,10058
Ian Krol,CIN,28,1,4,5.282608696,46,0,0,0,9,3,,46,208,54,29,27,3,22,1,2,4,0,58,10066
Caleb Thielbar,ATL,32,2,1,3.217022739,51,0,0,0,5,0,,78.1,319,75,29,28,7,16,0,2,3,0,94,10078
Brad Boxberger,CIN,31,1,1,5.142857143,13,0,0,0,1,0,,14,66,16,10,8,2,8,1,0,1,0,19,10133
Ryan Weber,BOS,28,1,5,4.5,16,16,1,0,0,0,,78,337,86,41,39,9,25,0,3,3,0,63,10160
Shelby Miller,MIL,28,1,3,4.132648798,8,8,0,0,0,0,,32.2,140,25,19,15,2,19,0,2,3,1,36,10197
Josh Smoker,LAD,30,1,2,9,12,0,0,0,0,2,,14,68,20,15,14,4,9,2,0,0,0,11,10285
Erasmo Ramirez,BOS,29,6,8,4.7393743,27,24,1,0,0,0,,125.1,537,125,75,66,18,43,0,5,6,1,95,10314
Michael Tonkin,MIL,29,3,0,5.727264783,19,0,0,0,0,2,,22,101,21,17,14,6,14,1,2,0,0,25,10315
Juan Minaya,CHW,28,4,3,3.705882353,24,0,0,0,6,1,,34,149,32,18,14,4,15,1,3,9,0,41,10341
Robbie Erlin,SDP,28,0,1,8.052644412,13,0,0,0,1,3,,19,90,32,17,17,3,3,0,2,3,0,20,10354
Brooks Pounders,CLE,28,3,3,4.313612048,43,1,0,0,1,0,,56.1,237,48,28,27,8,20,2,7,5,0,66,10387
Hunter Cervenka,STL,29,2,2,2.79877886,45,0,0,0,4,2,,54.2,225,38,20,17,2,28,0,3,6,0,68,10510
Jake Petricka,MIL,31,2,2,3.744522784,40,0,0,0,7,2,,45.2,192,43,21,19,3,15,1,1,4,0,51,10534
Jimmy Nelson,MIL,30,3,2,4.790326265,17,4,0,0,0,2,,41.1,183,35,25,22,4,24,0,3,8,0,58,10547
Donn Roach,CHW,29,3,6,7.827734605,18,16,0,0,0,0,,79.1,382,127,77,69,16,26,0,2,3,0,53,10620
Andrew Bellatti,NYY,27,3,0,5.495570305,25,0,0,0,0,0,,37.2,164,40,25,23,4,11,0,3,5,0,35,10657
Tyler Thornburg,LAD,30,0,2,9.132339365,23,1,0,0,0,3,,22.2,116,28,24,23,8,18,0,1,3,0,28,10688
Scott Copeland,WSN,31,6,5,6.218677012,31,19,0,0,0,1,,114.1,525,126,86,79,20,62,0,7,15,0,102,10706
Drew Hutchison,NYY,28,11,6,5.276647115,25,23,0,0,0,0,,131.1,584,142,88,77,20,54,1,7,7,1,133,10732
Trevor Rosenthal,DET,29,0,1,9.600006199,17,0,0,0,0,1,,15,83,17,16,16,4,16,0,5,3,0,20,10745
Mike Foltynewicz,ATL,27,5,1,3.857145246,10,10,0,0,0,0,,51.1,217,49,24,22,1,17,0,2,2,0,45,10811
R.J. Alaniz,CIN,28,3,3,4.016522214,35,0,0,0,6,4,,40.1,185,43,21,18,4,18,2,4,3,0,54,10819
Asher Wojciechowski,CLE,30,8,2,3.614171709,15,15,0,0,0,0,,84.2,347,67,35,34,19,31,0,3,0,0,82,10836
Chasen Shreve,STL,28,2,2,3.45,51,0,0,0,3,0,,60,245,45,25,23,6,26,0,3,3,0,68,10855
Christian Bergman,SEA,31,2,3,9.569632499,8,6,0,0,0,0,,26.1,127,40,31,28,10,8,0,0,1,0,19,10925
Josh A. Smith,BOS,31,5,3,5.480200918,13,12,1,0,0,0,,67.1,296,82,44,41,9,20,0,3,2,0,70,10946
Jake Buchanan,WSN,29,3,6,6.317309662,24,20,0,0,0,0,,104,474,133,80,73,24,36,0,11,1,0,74,10962
Tim Adleman,DET,31,11,4,3.230769231,20,19,2,0,0,0,,117,470,94,45,42,15,35,0,3,9,1,123,10968
Ryan O'Rourke,MIN,31,4,4,3.535714286,43,2,0,0,2,1,,56,243,46,27,22,4,35,2,2,7,1,61,10976
Ben Rowen,ATL,30,5,3,3.613381465,40,7,0,0,0,0,,89.2,364,85,38,36,5,15,0,5,1,0,65,10983
Marco Estrada,OAK,35,0,1,8.437497485,5,5,0,0,0,0,,10.2,50,13,11,10,4,4,0,0,0,1,13,1118
Grant Dayton,ATL,31,0,1,3.037496162,22,0,0,0,0,1,,26.2,103,20,9,9,6,4,0,1,0,0,41,11203
Casey Sadler,TBR,28,1,1,3.258618011,13,4,0,0,2,1,,38.2,162,38,17,14,6,6,0,2,2,0,53,11209
Aaron Barrett,WSN,31,0,2,2.751594028,50,0,0,0,31,3,,52.1,218,39,20,16,6,16,0,5,1,0,62,11243
Tyler Lyons,PIT,31,4,3,3.21854081,38,0,0,0,3,2,,50.1,203,39,21,18,4,19,0,1,5,0,60,11334
Sean Nolin,CHW,29,7,5,5.343750106,19,18,0,0,0,0,,96,417,104,59,57,18,32,0,4,4,2,90,11341
Pat Dean,COL,30,3,13,7.544114685,18,17,0,0,0,0,,90.2,440,147,90,76,34,25,0,3,0,0,59,11350
Sammy Solis,SDP,30,1,1,3.573524099,19,0,0,0,1,1,,22.2,94,19,10,9,3,8,0,1,0,0,28,11457
A.J. Cole,CLE,27,0,1,3.176470588,13,0,0,0,2,0,,17,63,10,6,6,2,5,0,1,3,0,21,11467
Zach Lee,NYM,27,9,4,5.090163775,24,21,0,0,0,0,,122,539,147,76,69,11,33,0,4,2,0,100,11468
Bryan Mitchell,SDP,28,0,3,8.684210526,17,15,0,0,0,0,,57,282,80,56,55,12,34,0,4,14,0,47,11479
Kaleb Cowart,LAA,27,1,2,10.18870051,17,0,0,0,1,2,,17.2,96,26,23,20,3,15,0,4,0,0,16,11494
Parker Bridwell,LAA,27,6,6,8.120297491,22,12,0,0,1,1,,88.2,430,128,92,80,18,44,0,2,9,1,79,11502
Williams Perez,STL,28,6,3,5.017701486,18,16,0,0,0,0,,75.1,327,81,44,42,10,30,1,2,0,0,81,11592
Dovydas Neverauskas,PIT,26,3,4,4.833333333,38,0,0,0,9,1,,54,231,51,30,29,8,22,2,1,2,0,75,11604
Mike Kickham,MIA,30,5,5,4.274133037,31,13,0,0,0,3,,86.1,383,89,46,41,10,36,1,4,5,1,84,11618
Vicente Campos,PIT,26,2,2,4.846153846,20,0,0,0,1,1,,26,120,29,17,14,5,13,1,3,2,1,23,11681
Josh Lucas,WSN,28,1,2,6.749991471,23,2,0,0,2,0,,26.2,125,32,22,20,5,13,0,2,0,0,22,11686
Matt Harvey,OAK,30,1,2,6.333333333,8,6,0,0,0,0,,27,117,30,19,19,4,8,0,0,0,0,33,11713
Justin Grimm,LAD,30,6,4,5.234696425,52,0,0,0,1,1,,65.1,285,63,40,38,6,32,0,4,18,0,84,11720
Justin Nicolino,CHW,27,8,7,6.118228124,24,22,1,0,0,0,,135.1,593,156,102,92,36,41,0,5,3,1,97,11754
Drew Smyly,MIL,30,1,0,4.973670979,3,3,0,0,0,0,,12.2,50,10,7,7,2,3,0,0,0,0,18,11760
Jason Adam,TOR,27,1,3,2.076923472,14,1,0,0,1,0,,17.1,70,11,7,4,2,8,1,0,0,1,24,11861
Enderson Franco,SFG,26,6,5,5.973451327,26,22,0,0,0,0,,113,505,139,80,75,24,36,1,5,6,1,98,11896
Michael Feliz,PIT,26,0,0,1.2,10,0,0,0,2,1,,15,65,13,2,2,1,7,0,1,0,0,22,11903
Taylor Cole,LAA,29,3,1,5.785705083,18,1,0,0,3,1,,23.1,107,34,15,15,5,8,0,0,1,0,26,11964
Brian Flynn,KCR,29,4,4,4.776926581,11,5,0,0,0,0,,43.1,195,47,25,23,7,18,0,0,3,0,42,12027
Parker Markel,PIT,28,5,0,1.74193393,31,0,0,0,9,2,,41.1,167,15,9,8,3,26,0,3,12,1,75,12106
Jason Garcia,TBR,26,7,1,5.073822256,10,8,0,0,0,0,,49.2,225,60,31,28,3,21,0,5,3,0,35,12143
Domingo Tapia,BOS,27,5,4,5.181818182,44,1,0,0,2,4,,66,302,74,47,38,8,32,0,5,3,0,52,12178
Cody Allen,MIN,30,0,2,2.25,11,2,0,0,0,0,,12,48,10,5,3,1,5,0,0,0,0,11,12183
Seth Maness,TEX,30,8,4,5.384615385,21,21,0,0,0,0,,117,512,155,74,70,19,16,0,5,0,0,69,12235
Dan Winkler,SFG,29,0,2,2.934779384,30,0,0,0,2,0,,30.2,138,22,12,10,2,23,0,3,6,0,29,12237
Evan Marshall,CHW,29,3,0,0,9,0,0,0,2,0,,10,37,8,0,0,0,1,0,0,1,0,13,12297
Chris Bassitt,OAK,30,0,0,3.272727273,3,3,0,0,0,0,,11,45,8,6,4,2,2,0,1,1,0,16,12304
Colin Rea,CHC,28,14,4,3.952702703,26,26,1,0,0,0,,148,626,142,74,65,17,60,3,2,3,0,120,12317
Jacob Barnes,MIL,29,2,0,4.319999114,17,0,0,0,1,0,,16.2,71,18,8,8,3,2,0,0,1,0,21,12323
Kevin Quackenbush,LAD,30,2,5,5.062497257,54,0,0,0,11,4,,58.2,253,59,34,33,9,16,1,3,2,0,85,12360
Nick Tropeano,LAA,28,4,6,5.874474362,17,15,0,0,0,0,,79.2,352,90,55,52,12,31,0,2,3,0,85,12385
Drew Gagnon,NYM,29,6,5,2.334585529,15,15,0,0,0,0,,88.2,362,78,29,23,12,17,1,5,6,0,72,12545
Nick Ramirez,DET,29,1,1,2.314289056,5,5,0,0,0,0,,23.1,98,23,9,6,2,5,0,1,0,0,30,12575
DJ Johnson,COL,29,4,1,5.625,40,0,0,0,3,2,,48,218,62,31,30,8,16,2,1,3,0,67,12578
Mike Wright,SEA,29,2,5,5.275862069,15,12,0,0,0,0,,58,251,61,35,34,4,17,0,2,2,0,56,12586
Nate Karns,BAL,31,0,0,8.709680023,9,7,0,0,0,0,,10.1,50,10,10,10,1,10,0,1,2,0,5,12638
Jerad Eickhoff,PHI,28,3,2,5.926836523,8,8,0,0,0,0,,27.1,117,24,19,18,5,12,0,3,1,1,24,12664
Ryan Carpenter,DET,28,5,7,5.25974026,14,14,0,0,0,0,,77,334,77,45,45,11,26,0,8,1,0,76,12699
Adrian Houser,MIL,26,2,0,1.265626999,4,4,0,0,0,0,,21.1,84,13,4,3,2,4,0,3,1,0,23,12718
Rafael Montero,TEX,28,1,0,3.436364277,11,5,0,0,0,0,,18.1,75,17,7,7,0,2,1,1,1,1,31,12760
Jairo Diaz,COL,28,1,0,0.45,16,0,0,0,6,0,,20,77,12,1,1,0,6,0,1,1,1,22,12774
Sean Gilmartin,BAL,29,3,3,3.954545455,32,3,0,0,0,2,,66,270,54,32,29,8,23,0,3,4,0,74,12781
Burch Smith,SFG,29,7,4,2.631769968,18,17,0,0,0,0,,92.1,384,65,34,27,7,46,0,8,3,1,103,12784
Cody Anderson,CLE,28,0,2,4.563373784,6,6,0,0,0,0,,23.2,98,25,12,12,3,7,0,3,2,0,21,12799
Andrew Kittredge,TBR,29,2,1,1.928573071,27,1,0,0,6,1,,37.1,142,24,9,8,3,6,1,2,1,0,55,12828
Elvis Araujo,MIA,27,2,1,7.641494859,19,0,0,0,0,0,,17.2,91,19,16,15,6,15,0,2,7,0,25,12854
Danny Hultzen,CHC,29,0,1,1.255816906,14,0,0,0,3,0,,14.1,59,4,2,2,0,9,0,3,1,0,23,12874
Logan Verrett,OAK,29,1,0,3.932042476,7,4,0,0,0,0,,34.1,133,30,15,15,4,4,0,1,0,0,33,12905
Gabriel Ynoa,BAL,26,1,0,4.764705882,3,3,0,0,0,0,,17,71,13,9,9,3,6,0,1,0,0,13,12938
Joe Ross,WSN,26,2,3,4.275,8,8,0,0,0,0,,40,171,48,21,19,2,8,0,4,4,0,32,12972
Mauricio Cabrera,CHW,25,4,3,4.5,41,1,0,0,1,1,,48,246,52,28,24,2,47,1,6,10,0,67,12975
Colten Brewer,BOS,26,2,3,4.909090909,9,0,0,0,0,1,,11,56,14,9,6,2,7,0,2,3,0,10,12997
Robby Scott,ARI,29,3,0,6.529411765,43,0,0,0,1,2,,51,234,42,40,37,10,35,1,4,2,0,62,13042
Reymin Guduan,HOU,27,3,1,2.634149589,23,0,0,0,2,3,,27.1,131,29,14,8,1,18,0,1,5,0,32,13058
Derek Law,TOR,28,2,1,1.687494669,8,0,0,0,2,1,,10.2,42,7,3,2,1,3,0,0,1,0,17,13133
Jordan Weems,BOS,26,0,3,4.365266819,41,1,0,0,8,0,,55.2,248,54,32,27,2,33,1,1,7,0,69,13190
Matt Carasiti,CHC,27,2,1,3.530771976,31,0,0,0,5,1,,43.1,189,39,22,17,4,18,0,3,7,0,40,13276
Danny Coulombe,MIL,29,4,2,4.706426383,31,0,0,0,1,0,,36.1,169,39,20,19,9,17,0,5,4,0,61,13293
Jake Barrett,NYY,27,0,1,1.173915623,10,0,0,0,1,0,,15.1,59,10,2,2,0,4,0,0,1,0,20,13322
James Pazos,COL,28,1,4,8.415584937,46,0,0,0,3,0,,51.1,257,77,51,48,8,30,4,3,3,0,46,13323
Hoby Milner,TBR,28,3,3,3.064863285,50,0,0,0,12,3,,61.2,243,47,25,21,7,13,3,2,2,0,89,13346
Brady Rodgers,HOU,28,4,0,3.652943431,13,11,0,0,0,0,,56.2,238,54,23,23,9,18,0,1,1,0,43,13393
Damien Magnifico,ARI,28,3,1,3.735849191,50,0,0,0,4,3,,53,241,58,26,22,1,27,0,2,6,0,68,13395
Sam Selman,SFG,28,3,2,1.8,43,1,0,0,0,3,,55,211,28,14,11,4,17,0,1,0,0,94,13397
Paco Rodriguez,SDP,28,4,1,3.351726342,28,1,0,0,0,2,,48.1,203,48,22,18,5,9,0,0,4,0,43,13398
R.J. Alvarez,MIA,28,2,8,4.695649392,50,0,0,0,15,6,,53.2,234,46,36,28,12,28,3,6,6,1,65,13401
Chris Beck,STL,28,0,7,6.096778883,37,0,0,0,6,2,,41.1,190,50,31,28,8,18,2,1,2,1,39,13418
Matt Koch,ARI,28,5,10,7.38,21,17,0,0,0,0,,100,464,135,86,82,21,30,0,2,4,0,81,13420
Drew VerHagen,DET,28,5,2,4.333333333,12,11,0,0,0,0,,54,236,61,29,26,5,13,0,4,0,0,51,13424
Mike Morin,MIN,28,0,1,2.25,8,1,0,0,1,0,,12,50,11,4,3,1,3,0,0,0,0,12,13442
Lucas Sims,CIN,25,5,0,4.556962025,16,16,0,0,0,0,,79,340,69,43,40,9,36,0,6,1,0,102,13470
Sam Tuivailala,SEA,26,1,2,3.92727134,19,2,0,0,0,0,,18.1,71,12,9,8,3,5,0,0,1,0,20,13485
Matt Bowman,CIN,28,1,1,2.076923077,29,0,0,0,4,0,,39,156,28,11,9,1,18,2,0,1,1,35,13528
Justin Haley,SFG,28,2,2,5.318181818,4,4,0,0,0,0,,22,95,22,13,13,6,6,1,2,3,0,19,13572
Steven Okert,SFG,27,8,2,5.306355456,50,4,0,0,0,2,,57.2,257,64,44,34,14,18,4,3,2,0,75,13580
Shawn Morimando,TOR,26,2,5,6.014221054,16,14,0,0,0,0,,70.1,319,78,50,47,13,33,0,6,4,0,76,13606
Carl Edwards Jr.,CHC,27,2,1,4.075463925,17,0,0,0,0,1,,17.2,76,16,9,8,2,7,0,0,0,0,18,13607
Taylor Guerrieri,TEX,26,1,3,3.467892942,23,2,0,0,0,0,,36.1,152,36,15,14,1,15,0,1,3,1,39,13616
Josh D. Smith,CLE,29,8,1,2.734175565,41,0,0,0,6,1,,52.2,220,32,17,16,7,24,2,5,5,0,74,13629
Clay Holmes,PIT,26,3,1,6.406768684,12,0,0,0,1,3,,19.2,99,22,18,14,1,16,1,2,1,1,16,13649
Tayler Scott,SEA,27,3,2,4.588235294,33,0,0,0,7,3,,51,213,43,26,26,4,22,1,2,7,1,68,13652
Jharel Cotton,OAK,27,1,3,7.15661779,18,3,0,0,0,2,,27.2,125,30,23,22,8,12,0,0,1,0,33,13654
Corey Oswalt,NYM,25,10,4,2.81654568,18,18,1,0,0,0,,92.2,381,90,37,29,9,18,0,3,1,1,86,13677
Nick Goody,CLE,27,0,1,7.767134044,21,0,0,0,0,2,,24.1,115,28,23,21,8,13,1,2,3,0,34,13685
Ryan Merritt,TBR,27,4,4,7.038461538,27,11,0,0,0,0,,78,374,115,65,61,19,23,1,6,3,1,64,13688
Sal Romano,CIN,25,4,8,4.283656046,43,5,0,0,1,3,,69.1,300,72,38,33,6,26,2,3,8,1,76,13690
Jake Faria,TBR,25,7,3,3.876235611,29,7,0,0,1,1,,67.1,284,63,31,29,9,31,0,0,2,0,82,13699
Joey Krehbiel,ARI,26,1,4,7.694304776,51,0,0,0,1,3,,64.1,315,73,62,55,16,45,1,5,3,0,67,13707
Kyle Barraclough,SFG,29,0,2,5.399998127,17,1,0,0,0,1,,18.1,77,14,13,11,2,11,0,0,1,0,29,13713
Tyler Duffey,MIN,28,0,0,1.317069923,7,0,0,0,1,0,,13.2,53,8,2,2,0,5,0,1,3,0,22,13758
Dominic Leone,STL,27,1,0,2.842102239,23,0,0,0,0,0,,31.2,130,20,10,10,3,14,0,2,4,0,42,13763
JT Chargois,LAD,28,1,2,2.75509936,27,0,0,0,4,3,,32.2,135,27,12,10,3,16,0,1,2,0,37,13767
Daniel Stumpf,DET,28,2,1,0.586957812,14,0,0,0,4,0,,15.1,60,8,2,1,0,4,1,1,0,0,24,13780
Alex Wood,CIN,28,1,1,3.176471479,4,4,0,0,0,0,,11.1,48,12,5,4,0,2,0,1,0,0,11,13781
Austin Adams,WSN,28,1,1,1.653061546,14,0,0,0,1,0,,16.1,62,8,4,3,0,5,0,0,4,0,32,13801
Walker Lockett,NYM,25,4,3,3.818181818,13,12,0,0,0,0,,66,290,83,33,28,6,11,1,2,3,0,45,13804
Alec Mills,CHC,27,6,4,5.105769231,19,18,0,0,0,0,,104,447,116,62,59,17,30,1,2,2,0,96,13834
Paul Sewald,NYM,29,3,3,3.352941176,41,0,0,0,3,1,,51,217,56,23,19,6,15,1,4,3,0,52,13892
Chris Flexen,NYM,24,5,3,4.461862387,26,14,0,0,0,0,,78.2,345,94,41,39,11,21,0,2,2,1,92,13896
Dietrich Enns,SDP,28,11,11,6.700729927,28,25,0,0,0,0,,137,635,182,108,102,37,56,0,2,6,0,105,13932
Brent Suter,MIL,29,0,0,0,8,4,0,0,0,0,,16.2,59,4,0,0,0,3,0,1,0,0,25,13942
Tim Peterson,NYM,28,2,6,2.945454545,41,0,0,0,9,2,,55,216,42,19,18,7,13,1,1,2,0,54,13946
Ryan Dull,SFG,29,2,4,5.290536791,36,0,0,0,4,5,,49.1,209,48,34,29,9,15,1,1,2,2,57,13974
Ryan Garton,SEA,29,4,2,3.994900136,39,1,0,0,1,3,,65.1,277,57,33,29,9,30,0,0,3,0,77,14016
Mike Hauschild,STL,29,1,3,7.955363917,10,9,0,0,0,0,,37.1,176,45,34,33,5,25,0,1,3,0,23,14033
Michael Ynoa,KCR,27,1,1,4.569223663,17,0,0,0,2,0,,21.2,99,19,13,11,3,14,1,1,5,0,26,14093
Branden Kline,BAL,27,2,1,6,21,0,0,0,2,1,,24,111,28,17,16,4,15,0,0,3,0,31,14101
Kevin Gausman,ATL,28,0,2,2.5,3,3,0,0,0,0,,18,70,14,7,5,2,2,0,0,0,0,19,14107
Chris Mazza,NYM,29,3,5,3.612038913,18,17,0,0,0,0,,99.2,406,91,43,40,6,26,0,6,4,0,83,14151
Kyle Zimmer,KCR,27,2,4,4.333333333,37,12,0,0,1,3,,54,237,46,30,26,6,33,2,1,2,0,52,14169
Ray Black,SFG,29,1,0,4.395343671,29,1,0,0,2,1,,28.2,117,20,15,14,4,15,0,0,1,1,45,14244
Brian Johnson,BOS,28,1,1,5.661281092,9,5,0,0,0,1,,20.2,94,24,16,13,2,11,0,1,2,0,26,14272
Luke Bard,LAA,28,2,4,7.105263158,16,1,0,0,1,1,,19,94,28,20,15,4,10,0,1,2,0,26,14288
Wandy Peralta,CIN,27,0,0,3.272727273,12,0,0,0,0,0,,11,44,11,4,4,0,1,0,1,0,0,7,14295
Joel Payamps,ARI,25,5,6,3.889828937,15,15,1,1,0,0,,78.2,327,81,39,34,8,18,0,1,4,0,69,14332
Williams Jerez,SFG,27,4,4,3.857142857,47,0,0,0,2,4,,56,235,46,33,24,6,16,0,3,6,1,61,14338
Caleb Frare,CHW,25,2,1,6.352948732,27,0,0,0,1,2,,28.1,134,25,22,20,5,23,0,3,3,0,42,14353
Ty Blach,SFG,28,3,5,6.539792603,19,17,0,0,0,0,,96.1,448,138,75,70,15,27,0,2,5,0,70,14361
Jake Thompson,DET,25,5,0,1.989471567,7,5,0,0,0,0,,31.2,129,23,9,7,2,12,0,0,6,0,34,14371
Wei-Chung Wang,OAK,27,1,1,4.784816249,19,0,0,0,1,1,,26.1,116,29,14,14,5,8,1,1,1,0,24,14382
Yohander Mendez,TEX,24,0,1,4.909091696,12,0,0,0,1,1,,18.1,82,14,11,10,4,9,0,2,0,0,27,14391
Robinson Leyer,SEA,26,2,3,5.241173354,40,1,0,0,1,1,,56.2,259,56,36,33,3,37,0,2,11,0,71,14399
Jackson Stephens,CIN,25,8,4,5.142857143,47,2,0,0,0,2,,84,375,93,54,48,6,37,1,4,1,0,80,14420
Matt Ramsey,LAA,29,0,3,5.268279693,12,0,0,0,0,3,,13.2,67,16,12,8,0,8,0,1,2,2,15,14460
J.B. Wendelken,OAK,26,6,3,5.586202304,30,1,0,0,3,4,,38.2,179,47,26,24,8,19,1,2,3,0,43,14506
Randy Rosario,CHC,25,1,2,3.106192069,31,0,0,0,4,2,,37.2,177,46,20,13,5,14,0,1,5,0,31,14508
Dereck Rodriguez,SFG,27,3,0,3.669898971,7,7,0,0,0,0,,34.1,141,30,20,14,6,11,0,1,1,0,37,14509
Thyago Vieira,CHW,25,6,4,5.704229183,39,0,0,0,8,2,,47.1,213,53,33,30,7,22,0,4,5,1,51,14510
Dakota Bacus,WSN,28,5,5,3.514794883,47,0,0,0,9,2,,56.1,248,50,28,22,3,28,3,3,4,1,53,14545
Jose Ruiz,CHW,24,0,0,1.255816906,11,0,0,0,7,1,,14.1,58,9,2,2,0,7,0,1,1,0,15,14552
James Hoyt,CLE,32,2,0,3.428571429,40,2,0,0,4,1,,42,190,46,17,16,3,20,2,4,8,0,48,14605
Rowan Wick,CHC,26,1,0,1.8,27,0,0,0,6,0,,35,138,25,8,7,3,9,2,1,2,0,44,14646
Chi Chi Gonzalez,COL,27,4,5,6.103448276,16,15,0,0,0,0,,87,396,105,64,59,15,36,0,6,3,0,76,14663
Jandel Gustave,SFG,26,2,2,5.522733617,32,1,0,0,7,2,,29.1,128,28,19,18,5,12,0,2,1,0,29,14665
Dillon Maples,CHC,27,4,4,3.76744186,38,0,0,0,7,1,,43,188,21,19,18,1,36,0,6,5,0,79,14672
Duane Underwood Jr.,CHC,24,3,7,5.069385545,33,10,0,0,0,0,,81.2,369,84,55,46,8,41,2,3,6,0,95,14677
Andres Machado,KCR,26,3,2,2.892855763,44,0,0,0,3,2,,74.2,321,61,29,24,12,33,2,5,2,0,65,14681
Luis Perdomo,SDP,26,2,1,3.6,11,0,0,0,1,2,,15,69,21,9,6,3,4,0,1,0,1,17,14682
Jonathan Aro,ATL,28,6,3,3.534035049,31,2,0,0,3,1,,63.2,261,65,28,25,3,9,1,2,1,0,40,14699
Anthony Banda,TBR,25,2,4,5.670005732,13,8,0,0,0,0,,33.1,145,35,22,21,7,14,0,1,0,0,33,14706
Brady Lail,NYY,25,4,2,3.831078199,26,1,0,0,1,3,,49.1,206,42,23,21,5,15,0,3,1,0,67,14707
Jamie Callahan,SFG,24,2,0,5.014284348,22,0,0,0,4,0,,23.1,101,30,14,13,0,7,1,2,2,0,30,14711
Jose Manuel Fernandez,DET,26,2,4,5.192304972,38,4,0,0,1,0,,60.2,269,70,40,35,9,23,1,0,2,0,43,14733
Paul Blackburn,OAK,25,11,3,4.34169739,24,22,0,0,0,0,,132.2,539,133,70,64,18,34,0,3,4,0,92,14739
Wes Parsons,ATL,26,2,3,2.858821926,27,0,0,0,4,0,,56.2,240,58,24,18,1,21,0,4,3,0,54,14764
Ryan Eades,MIN,27,4,3,5.331206617,31,2,0,0,3,3,,52.1,228,61,32,31,7,17,0,0,3,0,64,14808
Dylan Covey,CHW,27,2,1,2.823529412,13,11,0,0,0,0,,51,217,59,19,16,6,9,0,1,4,0,46,14825
Jon Edwards,CLE,31,6,1,4.224489796,41,0,0,0,3,3,,49,217,43,25,23,7,26,2,0,5,1,62,1483
Matt Dermody,TOR,28,2,1,5.47826087,15,0,0,0,0,0,,23,102,29,17,14,4,3,0,1,0,0,23,14844
Joe Mantiply,CIN,28,1,0,4.310925074,25,0,0,0,1,0,,39.2,164,40,20,19,5,6,0,2,1,0,33,14857
Nick Rumbelow,SEA,27,3,2,7.389482289,24,0,0,0,0,4,,31.2,159,48,29,26,6,17,0,2,2,0,28,14867
Sam Moll,SFG,27,2,2,2.387755009,41,0,0,0,2,2,,49,213,43,21,13,1,23,3,4,3,0,54,14874
Taylor Williams,MIL,27,3,3,2.833333333,46,0,0,0,6,3,,54,225,40,24,17,8,21,2,4,2,0,57,14899
Jason Hursh,ATL,27,3,3,3.446808511,34,0,0,0,2,2,,47,197,41,21,18,1,15,2,1,10,1,32,14914
Ben Lively,KCR,27,6,2,4.479264759,24,10,0,0,3,1,,72.1,321,77,37,36,14,30,1,3,1,0,76,14932
Rookie Davis,PIT,26,1,6,5.639237103,13,9,0,0,0,0,,52.2,232,61,33,33,9,22,0,1,1,0,40,14962
Luis Santos,TBR,28,3,2,4.896375767,32,3,0,0,1,1,,64.1,284,64,38,35,10,28,1,5,8,1,74,15006
Yacksel Rios,PIT,26,1,3,5.837841825,40,0,0,0,8,3,,49.1,232,57,35,32,6,26,1,4,5,2,49,15007
Kyle Finnegan,OAK,27,3,2,2.309208991,42,0,0,0,14,2,,50.2,206,39,15,13,3,19,1,1,8,0,72,15009
Alex Reyes,STL,24,1,4,6.026786227,12,9,0,0,0,0,,37.1,172,36,28,25,5,27,0,1,4,0,49,15015
Victor Alcantara,DET,26,0,0,5.890919918,13,2,0,0,0,0,,18.1,75,17,12,12,3,6,0,0,0,0,16,15028
Chase De Jong,MIN,25,0,5,9.727947998,13,10,0,0,0,0,,45.1,233,72,53,49,16,26,0,4,3,0,30,15036
Austin Voth,WSN,27,4,6,4.33928952,16,16,0,0,0,0,,74.2,320,80,40,36,8,17,0,3,8,0,80,15047
Jaime Schultz,LAD,28,2,3,5.85314295,47,1,0,0,4,0,,47.2,221,52,38,31,3,27,1,2,4,0,62,15066
Yency Almonte,COL,25,2,3,4.2,30,0,0,0,5,4,,30,147,29,21,14,2,26,2,1,3,0,32,15068
Kyle McGowin,WSN,27,8,3,3.387096774,17,17,0,0,0,0,,93,380,81,38,35,10,26,1,5,2,0,104,15071
Hunter Wood,TBR,25,1,0,5.999987841,11,1,0,0,1,1,,15,68,17,12,10,4,6,0,0,1,0,21,15091
Rob Zastryzny,LAD,27,4,8,5.575221333,23,19,0,0,0,0,,113,504,138,82,70,17,39,0,2,6,0,104,15094
Ben Heller,NYY,27,0,0,0.658536421,11,6,0,0,1,0,,13.2,51,8,1,1,0,4,0,1,2,0,15,15100
Luke Farrell,TEX,28,0,0,3.857142857,9,4,0,0,0,0,,14,59,10,8,6,0,5,0,1,4,0,22,15101
James Sherfy,ARI,27,3,3,3.823008503,38,0,0,0,12,4,,37.2,168,35,19,16,3,21,1,2,1,0,54,15118
Tyler Danish,SEA,24,0,4,21.25527343,6,4,0,0,0,0,,15.2,101,44,41,37,9,9,0,1,0,0,10,15126
