Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Elieser Hernandez,MIA,AAA,26,0,1,2.95312544,5,5,0,0,0,0,,21.1,77,11,8,7,3,3,0,0,0,0,32,16933
Luis Ortiz,TEX,AAA,25,1,2,4.846153846,24,4,0,0,0,1,,39,171,41,22,21,6,16,0,1,0,0,42,16942
Sean Newcomb,ATL,AAA,28,3,0,1.723403906,14,0,0,0,3,0,,15.2,60,9,3,3,1,3,0,1,2,0,27,16943
Jake Jewell,SFG,AAA,28,2,1,2.675676538,28,0,0,0,4,2,,37,149,27,13,11,4,14,0,2,1,0,43,16958
Trevor Williams,CHC,AAA,29,2,0,1.421052632,4,4,0,0,0,0,,19,74,11,4,3,1,3,0,2,0,0,15,16977
Tyler Beede,SFG,AAA,28,0,6,6.657533551,16,16,0,0,0,0,,48.2,244,50,42,36,7,45,1,6,4,1,50,16981
Trevor Hildenberger,SFG,AAA,30,2,2,4.909090255,22,2,0,0,0,3,,25.2,117,20,16,14,1,17,1,6,3,0,29,17002
Jefry Rodriguez,WSN,AAA,27,1,0,5.522727871,9,8,0,0,0,0,,29.1,132,25,22,18,2,19,0,2,6,1,32,17018
Sean Reid-Foley,NYM,AAA,25,0,0,1.687499497,9,0,0,0,0,0,,10.2,40,4,2,2,1,4,0,0,0,0,18,17034
Joe Palumbo,TEX,AAA,26,1,2,13.49999356,6,2,0,0,0,0,,6.2,43,12,11,10,4,10,0,2,0,0,7,17035
Pablo Lopez,MIA,AAA,25,0,0,0,1,1,0,0,0,0,,3,9,0,0,0,0,0,0,1,0,0,3,17085
Domingo Acevedo,OAK,AAA,27,2,0,2.479591451,30,0,0,0,9,2,,32.2,126,22,12,9,3,6,0,1,5,0,53,17092
Austin Davis,PIT,AAA,28,0,1,2.571428571,11,0,0,0,0,1,,14,49,6,5,4,0,5,0,0,0,0,18,17117
Domingo German,NYY,AAA,28,0,0,0,1,0,0,0,0,0,,2,7,2,0,0,0,0,0,0,0,0,4,17149
Gabe Speier,KCR,AAA,26,3,0,2.977941511,45,0,0,0,5,2,,45.1,191,45,15,15,5,9,2,4,3,0,57,17170
Yoan Lopez,ATL,AAA,28,3,2,3.207920489,33,0,0,0,3,2,,33.2,137,28,14,12,4,15,2,0,4,1,37,17181
Austin Brice,BOS,AAA,29,3,0,2.730336786,23,2,0,0,1,2,,29.2,125,20,9,9,3,11,0,9,1,0,30,17237
Sam Coonrod,PHI,AAA,28,0,0,1.687501006,5,0,0,0,0,0,,5.1,19,2,1,1,1,2,0,0,1,0,4,17264
Thomas Pannone,LAA,AAA,27,5,10,7.054839057,21,18,0,0,0,1,,103.1,476,140,89,81,22,32,0,1,4,1,70,17281
