Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Eric Lauer,MIL,AAA,26,0,0,0,1,1,0,0,0,0,,5,17,1,0,0,0,2,0,0,0,0,12,19316
Matthew Festa,SEA,AAA,28,3,0,3.306123092,15,0,0,0,1,1,,16.1,66,12,6,6,3,3,0,3,0,1,23,19330
Richard Lovelady,KCR,AAA,25,0,0,1.080000412,7,0,0,0,0,0,,8.1,33,5,1,1,0,4,1,1,1,0,9,19337
Hector Velazquez,HOU,AAA,32,1,1,1.459459271,14,2,0,0,1,1,,24.2,101,23,5,4,2,8,0,0,1,1,22,19341
A.J. Puk,OAK,AAA,26,2,3,6.214285714,27,2,0,0,1,0,,42,197,55,35,29,11,14,0,2,5,0,52,19343
Daulton Jefferies,OAK,AAA,25,5,1,4.909090909,15,15,0,0,0,0,,77,332,90,44,42,13,11,0,4,1,1,68,19345
Dean Kremer,BAL,AAA,25,1,5,5.400000515,14,10,0,0,0,1,,53.1,232,53,41,32,9,18,0,4,3,0,60,19350
Keegan Akin,BAL,AAA,26,0,0,9,1,1,0,0,0,0,,2,10,2,2,2,1,1,0,1,0,0,5,19362
Tony Gonsolin,LAD,AAA,27,0,0,3.48387204,3,3,0,0,0,0,,10.1,40,6,4,4,2,3,0,0,1,0,9,19388
Shane Bieber,CLE,AAA,26,0,0,3.374995675,1,1,0,0,0,0,,2.2,12,3,1,1,0,1,0,0,0,0,3,19427
Yohan Ramirez,SEA,AAA,26,0,0,4.153846916,15,0,0,0,0,0,,17.1,76,12,8,8,2,13,0,3,1,0,24,19444
Shaun Anderson,TEX,AAA,26,2,0,2.2131151,15,0,0,0,1,1,,20.1,77,12,5,5,1,6,0,0,2,0,23,19453
Michael Rucker,CHC,AAA,27,3,0,4.805085367,19,0,0,0,0,1,,39.1,167,44,22,21,8,9,1,2,0,0,49,19454
Bryan Garcia,DET,AAA,26,0,1,5.400000736,19,0,0,0,1,1,,23.1,104,25,15,14,3,8,0,2,4,0,19,19457
Alex De Goti,HOU,AAA,26,0,0,0,1,0,0,0,0,0,,1,4,1,0,0,0,0,0,0,0,0,0,19477
Ryan Hartman,BAL,AAA,27,4,3,4.821428462,20,15,0,0,0,0,,84,351,82,46,45,17,21,0,2,3,0,74,19480
Andrew Vasquez,LAD,AAA,27,4,0,3.654135758,35,0,0,0,0,1,,44.1,191,23,22,18,5,23,0,13,1,0,71,19482
Mike Shawaryn,KCR,AAA,26,1,0,4.628570167,9,0,0,0,0,1,,11.2,59,6,7,6,0,16,0,2,1,0,16,19495
Raynel Espinal,BOS,AAA,29,10,4,3.543750338,21,19,0,0,0,0,,106.2,440,78,47,42,11,40,0,9,5,2,106,19516
Jason Foley,DET,AAA,25,1,1,4.413460891,32,0,0,0,2,1,,34.2,153,34,18,17,5,19,1,4,5,0,36,19531
Ryan Hendrix,CIN,AAA,26,0,0,6.923076923,13,0,0,0,0,1,,13,55,10,11,10,3,5,0,2,0,0,13,19535
Jimmy Lambert,CHW,AAA,26,3,3,4.75647706,19,19,0,0,0,0,,64.1,269,49,38,34,11,32,0,2,5,0,82,19541
Stephen Nogosek,NYM,AAA,26,1,5,5.399999458,24,0,0,0,6,3,,31.2,143,33,22,19,2,14,2,0,2,0,46,19545
Jon Duplantier,ARI,AAA,26,1,0,7.714285714,3,2,0,0,0,0,,7,35,9,6,6,1,5,0,1,0,0,4,19546
JD Hammer,PHI,AAA,26,2,0,1.741935216,17,0,0,0,1,0,,20.2,86,13,5,4,2,10,0,2,1,0,33,19548
Geoff Hartlieb,PIT,AAA,27,2,2,4.18309803,20,0,0,0,0,1,,23.2,110,21,13,11,4,14,0,1,3,0,27,19558
Bernardo Flores Jr.,STL,AAA,25,2,3,6.683169626,9,5,0,0,0,0,,33.2,163,45,30,25,7,22,1,0,1,3,27,19561
Sean Poppen,TBR,AAA,27,3,3,2.076923472,24,0,0,0,2,2,,34.2,139,29,10,8,2,13,0,1,1,0,37,19583
Cionel Perez,CIN,AAA,25,1,2,2.85882385,29,0,0,0,2,3,,28.1,119,23,11,9,0,12,1,0,1,0,39,19614
Kyle Hart,BOS,AAA,28,6,9,4.5,21,19,1,0,0,0,,100,441,97,57,50,19,46,0,7,1,3,81,19646
Matt Foster,CHW,AAA,26,0,1,2.634145729,13,0,0,0,0,0,,13.2,53,11,4,4,1,1,0,0,2,0,22,19647
Kyle Wright,ATL,AAA,25,8,5,3.6,21,21,1,1,0,0,,115,490,107,52,46,9,41,0,6,12,0,118,19665
Sterling Sharp,WSN,AAA,26,4,4,4.966981847,16,14,0,0,0,0,,70.2,321,73,47,39,9,39,0,2,9,0,47,19671
James Marvel,PIT,AAA,27,5,7,5.354108112,23,20,0,0,0,0,,117.2,528,132,80,70,17,52,3,12,1,1,82,19675
Jordan Sheffield,COL,AAA,26,0,0,0,1,0,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,0,19682
Connor Seabold,BOS,AAA,25,2,3,3.671999552,8,8,0,0,0,0,,41.2,174,31,20,17,5,13,0,6,2,0,44,19695
Patrick Murphy,TOR,AAA,26,1,1,0.539999897,13,0,0,0,0,0,,16.2,67,10,2,1,0,9,0,0,0,0,20,19712
Kodi Whitley,STL,AAA,26,3,0,1.6875,12,0,0,0,3,0,,16,66,11,4,3,1,7,0,1,0,0,21,19731
Seth Elledge,STL,AAA,25,2,1,5.845361744,27,0,0,0,2,3,,32.1,153,38,23,21,3,20,1,2,3,0,41,19766
Will Vest,DET,AAA,26,1,2,4.285714286,18,0,0,0,2,1,,21,89,23,10,10,2,6,0,0,0,0,23,19769
Justin Garza,CLE,AAA,27,1,1,1.588235071,14,0,0,0,1,0,,22.2,86,8,5,4,2,13,0,0,1,0,31,19784
Anthony Castro,TOR,AAA,26,0,1,2,9,0,0,0,0,0,,9,32,5,2,2,1,0,0,0,0,0,15,19789
Keegan Thompson,CHC,AAA,26,0,0,0,4,4,0,0,0,0,,14.2,53,5,0,0,0,5,0,0,1,0,16,19795
Wil Crowe,PIT,AAA,26,0,0,0,1,0,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,1,19800
Bryan Baker,TOR,AAA,26,4,1,1.48623874,35,0,0,0,10,2,,36.1,151,18,9,6,1,17,0,3,2,1,43,19804
Daniel Castano,MIA,AAA,26,5,2,4.616580676,12,12,0,0,0,0,,64.1,268,65,34,33,15,14,0,3,0,2,45,19805
Riley Smith,ARI,AAA,26,0,0,8.217387897,2,2,0,0,0,0,,7.2,37,11,7,7,2,3,0,1,0,1,6,19826
Alexander Wells,BAL,AAA,24,6,3,3.29268262,13,10,0,0,0,0,,54.2,219,49,23,20,6,7,0,0,0,1,48,19845
Darwinzon Hernandez,BOS,AAA,24,0,0,0,1,0,0,0,0,0,,1,4,0,0,0,0,1,0,0,0,0,1,19848
Michael King,NYY,AAA,26,0,1,4.764703209,3,1,0,0,1,0,,5.2,23,5,3,3,1,0,0,1,0,0,11,19853
Charlie Barnes,MIN,AAA,25,6,4,3.875,15,15,0,0,0,0,,72,307,67,34,31,7,24,0,6,1,1,58,19865
Brandon Bielak,HOU,AAA,25,2,0,2.076923458,6,3,0,0,0,0,,17.1,73,16,7,4,0,4,0,1,1,0,22,19866
Griffin Canning,LAA,AAA,25,0,0,27,1,1,0,0,0,0,,2,15,3,6,6,1,5,0,1,0,0,4,19867
Drew Carlton,DET,AAA,25,3,3,3.12244898,29,2,0,0,3,3,,49,192,43,19,17,4,10,0,0,1,0,48,19868
Tucker Davidson,ATL,AAA,25,2,1,0.9,3,3,0,0,0,0,,20,71,8,2,2,2,4,0,0,0,0,23,19871
Kevin Ginkel,ARI,AAA,27,0,0,9,1,0,0,0,1,0,,1,6,2,1,1,0,1,0,0,0,0,0,19876
Tanner Houck,BOS,AAA,25,0,2,5.142857143,6,6,0,0,0,0,,21,90,19,13,12,1,7,0,3,0,0,26,19879
Gabe Klobosits,WSN,AAA,26,1,1,0,12,0,0,0,3,0,,14.1,59,9,1,0,0,4,0,2,0,0,13,19881
Alex Lange,DET,AAA,25,2,1,4.569230099,19,0,0,0,1,1,,21.2,100,22,12,11,0,17,0,0,7,0,27,19883
Corbin Martin,ARI,AAA,25,2,0,5.926829958,6,6,0,0,0,0,,27.1,133,31,21,18,7,19,0,0,2,0,30,19884
Clarke Schmidt,NYY,AAA,25,0,0,3,4,3,0,0,0,0,,15,69,19,7,5,2,4,0,1,0,0,20,19899
Adonis Medina,PHI,AAA,24,4,5,5.054187952,17,17,0,0,0,0,,67.2,298,71,48,38,10,26,1,1,4,1,55,19903
Jose Suarez,LAA,AAA,23,0,0,1.5,2,2,0,0,0,0,,6,27,8,4,1,0,1,0,0,0,1,4,19911
Tony Santillan,CIN,AAA,24,1,3,2.131578947,13,6,1,0,2,0,,38,152,25,10,9,5,15,0,0,4,0,51,19926
Ian Anderson,ATL,AAA,23,0,0,3.681817384,4,4,0,0,0,0,,14.2,64,12,6,6,0,9,0,0,1,0,20,19951
Jesus Luzardo,OAK,AAA,23,2,2,6.517241379,8,8,0,0,0,0,,29,135,33,24,21,3,15,0,5,3,0,26,19959
Tyson Miller,TEX,AAA,25,3,3,3.331169037,21,8,0,0,0,0,,51.1,214,43,24,19,5,21,0,2,5,0,50,19976
Bryse Wilson,ATL,AAA,23,5,2,4.228916051,10,9,1,0,0,0,,55.1,235,61,26,26,8,16,0,2,3,0,42,19990
Wyatt Mills,SEA,AAA,26,3,1,2.60240934,21,1,0,0,2,0,,27.2,106,16,9,8,2,6,0,1,1,0,50,20010
John Schreiber,BOS,AAA,27,2,3,2.950819672,29,8,0,0,1,1,,61,261,60,23,20,3,22,0,1,1,0,58,20020
Phillip Diehl,CIN,AAA,26,2,3,2.736486769,51,0,0,0,3,3,,49.1,194,38,21,15,9,10,0,1,2,0,63,20030
Darren McCaughan,SEA,AAA,25,5,4,4.59375,17,17,0,0,0,0,,96,393,91,51,49,18,15,0,6,1,1,78,20038
Ronald Bolanos,KCR,AAA,24,0,3,6.256098289,7,7,0,0,0,0,,27.1,121,26,20,19,8,17,0,2,5,0,24,20041
Jesus Cruz,STL,AAA,26,0,3,2.783505593,33,0,0,0,3,2,,32.1,146,25,12,10,0,24,1,3,3,0,33,20042
Sean Guenther,MIA,AAA,25,3,1,4.764705214,15,1,0,0,1,0,,22.2,93,21,15,12,2,4,0,2,0,0,28,20045
Kaleb Ort,BOS,AAA,29,1,3,3.115384981,40,0,0,0,18,2,,43.1,194,40,19,15,4,20,2,5,1,0,59,20061
Bailey Falter,PHI,AAA,24,2,0,1.760869383,8,6,0,0,0,0,,30.2,120,23,6,6,3,8,0,0,0,0,44,20070
Miguel Sanchez,MIL,AAA,27,2,0,3.6,19,0,0,0,0,0,,25,106,22,15,10,3,9,0,1,4,1,24,20074
Mauricio Llovera,PHI,AAA,25,2,1,3.991304877,28,0,0,0,5,1,,38.1,169,33,18,17,5,18,2,4,2,0,38,20080
James Karinchak,CLE,AAA,25,0,0,0,2,0,0,0,0,0,,2,8,1,0,0,0,1,0,0,0,0,3,20151
Nick Nelson,NYY,AAA,25,3,4,4.212765957,24,5,0,0,0,0,,47,214,44,30,22,6,28,0,2,11,0,59,20153
Nate Pearson,TOR,AAA,24,1,3,4.402173457,12,6,0,0,0,0,,30.2,129,21,15,15,4,13,0,4,5,1,44,20160
Kyle Muller,ATL,AAA,23,5,2,3.071090269,14,14,0,0,0,0,,70.1,294,52,27,24,7,34,0,1,12,0,80,20167
Ben Braymer,WSN,AAA,27,7,8,5.806451613,22,19,0,0,0,1,,93,405,84,61,60,18,52,0,6,5,0,72,20175
Ty Tice,TOR,AAA,24,1,1,9.34615556,19,0,0,0,0,1,,17.1,85,20,18,18,5,14,0,3,3,0,14,20177
Ben Bowden,COL,AAA,26,0,0,0,7,0,0,0,1,0,,6.2,24,1,0,0,0,3,0,0,1,0,11,20198
Eli Morgan,CLE,AAA,25,0,1,4.02985132,5,5,0,0,0,0,,22.1,92,20,10,10,1,11,0,1,1,1,21,20203
Jeremy Beasley,TOR,AAA,25,3,0,2.89285665,17,2,0,0,0,0,,18.2,84,13,7,6,0,15,0,1,1,0,26,20205
Mike Baumann,BAL,AAA,25,1,1,2,6,6,1,0,0,0,,27,108,18,6,6,0,13,0,0,3,0,26,20206
Yennsy Diaz,NYM,AAA,24,0,3,8.162792508,12,0,0,0,1,3,,14.1,67,14,16,13,5,9,0,0,4,0,16,20218
Tyler Ivey,HOU,AAA,25,0,0,7.105266724,2,1,0,0,0,0,,6.1,31,7,6,5,1,5,0,0,0,0,9,20237
Zac Lowther,BAL,AAA,25,0,5,6.527473212,8,8,0,0,0,0,,30.1,144,33,23,22,4,16,0,3,4,0,33,20243
Griffin Jax,MIN,AAA,26,4,1,3.762294611,8,8,0,0,0,0,,40.2,170,37,17,17,2,16,0,0,0,0,36,20253
Deivi Garcia,NYY,AAA,22,3,7,6.825279585,23,22,0,0,0,0,,89.2,433,101,72,68,20,68,0,7,7,1,96,20276
Cory Abbott,CHC,AAA,25,4,6,6.177122119,18,18,0,0,0,0,,90.1,414,94,68,62,20,50,0,5,3,0,125,20277
Jhonathan Diaz,LAA,AAA,24,0,3,4.108696504,3,3,0,0,0,0,,15.1,72,15,7,7,0,8,0,4,0,0,14,20298
Alec Bettinger,MIL,AAA,25,2,6,5.07600031,18,15,0,0,0,0,,83.1,358,95,50,47,15,18,0,2,3,0,84,20312
Andre Scrubb,HOU,AAA,26,0,0,1.636363636,11,0,0,0,0,0,,11,51,6,2,2,0,10,0,2,1,0,13,20329
Matt Peacock,ARI,AAA,27,0,0,3.857148506,3,0,0,0,1,0,,2.1,9,2,1,1,1,0,0,0,0,0,2,20339
Clayton Kershaw,LAD,AAA,33,0,0,6,1,1,0,0,0,0,,3,13,4,2,2,1,0,0,0,0,0,3,2036
Brusdar Graterol,LAD,AAA,22,2,2,6.479998764,17,0,0,0,1,2,,16.2,69,12,12,12,1,5,0,2,3,0,20,20367
Ramon Rosso,PHI,AAA,25,0,2,4.5,19,3,0,0,0,0,,28,126,24,22,14,2,18,1,3,5,0,26,20368
Matt Manning,DET,AAA,23,1,3,8.072166218,7,7,0,0,0,0,,32.1,144,40,29,29,11,10,0,0,2,0,36,20369
Bruce Zimmermann,BAL,AAA,26,1,0,1.636363636,3,3,0,0,0,0,,11,43,5,2,2,1,6,0,0,1,1,9,20370
Tyler Zuber,KCR,AAA,26,1,3,3.037499638,26,0,0,0,7,1,,26.2,109,15,10,9,3,15,3,0,1,0,39,20379
Antonio Santos,COL,AAA,24,0,5,7.80468657,31,2,0,0,0,2,,42.2,198,52,38,37,10,21,0,3,4,0,30,20383
Isaac Mattson,BAL,AAA,25,0,2,8.100001931,15,0,0,0,2,1,,13.1,67,22,13,12,3,6,0,1,2,0,16,20385
Anthony Kay,TOR,AAA,26,0,3,9.642858457,6,6,0,0,0,0,,23.1,114,28,29,25,4,13,0,4,3,0,26,20387
Luis Madero,MIA,AAA,24,7,3,2.842105263,17,7,0,0,0,0,,57,240,46,28,18,4,24,0,1,2,0,58,20399
Josh Fleming,TBR,AAA,25,0,0,1.227273259,5,0,0,0,1,0,,7.1,26,5,1,1,0,0,0,0,0,0,9,20418
Jovani Moran,MIN,AAA,24,2,1,3.03370754,15,0,0,0,1,3,,29.2,122,14,11,10,3,18,2,3,2,1,45,20422
Rony Garcia,DET,AAA,23,0,1,3.203389313,4,4,0,0,0,0,,19.2,84,13,7,7,4,10,0,3,0,0,24,20430
Enoli Paredes,HOU,AAA,25,0,0,4.5,21,0,0,0,1,1,,22,107,24,11,11,5,18,0,3,4,0,30,20447
Huascar Ynoa,ATL,AAA,23,0,0,4.320001648,2,2,0,0,0,0,,8.1,38,8,6,4,1,4,0,1,0,0,11,20468
Peter Solomon,HOU,AAA,24,8,1,4.699659193,21,18,0,0,1,0,,97.2,426,89,55,51,16,42,0,2,8,0,112,20476
J.B. Bukauskas,ARI,AAA,24,0,2,4.263156825,13,0,0,0,1,3,,12.2,51,9,6,6,1,4,0,1,0,0,16,20491
Kyle Nelson,CLE,AAA,24,0,1,6.55714375,22,0,0,0,1,0,,23.1,108,21,20,17,0,18,0,0,1,0,29,20515
Kutter Crawford,BOS,AAA,25,2,4,4.991595999,8,7,0,0,0,0,,39.2,172,40,23,22,4,12,0,3,0,2,55,20531
Edwin Uceta,LAD,AAA,23,2,3,5.062499397,9,3,0,0,0,1,,26.2,121,27,16,15,4,12,0,3,2,0,35,20539
J.C. Mejia,CLE,AAA,24,0,3,7.434782609,8,6,0,0,0,0,,23,108,23,19,19,8,15,0,3,2,0,25,20617
Jordan Holloway,MIA,AAA,25,0,5,4.882979219,8,6,0,0,0,0,,31.1,134,29,20,17,5,14,0,2,1,0,29,20631
Humberto Mejia,ARI,AAA,24,7,5,5.52558218,15,15,0,0,0,0,,71.2,320,83,46,44,10,27,0,5,1,0,63,20739
Cristopher Sanchez,PHI,AAA,24,5,6,4.684931507,19,17,0,0,0,0,,73,325,58,39,38,4,48,0,2,4,1,89,20778
Manuel Rodriguez,CHC,AAA,24,0,0,0,7,0,0,0,1,0,,7.1,28,6,0,0,0,2,0,0,0,0,8,20794
Eduard Bazardo,BOS,AAA,25,1,1,7.448273413,9,0,0,0,3,1,,9.2,44,12,8,8,3,2,0,1,1,0,10,20997
Francisco Perez,CLE,AAA,23,1,0,3.155843765,18,0,0,0,1,0,,25.2,113,18,9,9,2,19,0,2,3,0,35,21018
Oliver Ortega,LAA,AAA,24,0,0,3.75,9,0,0,0,0,0,,12,54,11,6,5,2,5,0,0,1,0,15,21025
Luis Gil,NYY,AAA,23,4,0,4.661871015,11,10,0,0,0,0,,46.1,198,32,24,24,6,28,0,3,4,0,60,21052
Thomas Szapucki,NYM,AAA,25,0,4,4.103999499,10,9,0,0,0,0,,41.2,193,42,28,19,5,28,0,2,4,0,41,21065
Demarcus Evans,TEX,AAA,24,1,0,4.02127578,13,0,0,0,0,0,,15.2,68,11,7,7,2,9,0,0,2,0,25,21087
Miguel Yajure,PIT,AAA,23,2,3,3.091602693,9,9,0,0,0,0,,43.2,174,33,17,15,6,13,0,2,3,0,40,21111
Dany Jimenez,TOR,AAA,27,3,3,2.414634146,36,1,0,0,3,0,,41,174,27,13,11,5,24,0,0,6,1,68,21170
Humberto Castellanos,ARI,AAA,23,6,1,4.994219213,12,12,1,0,0,0,,57.2,247,56,32,32,14,14,1,5,1,0,59,21183
Brooks Kriske,NYY,AAA,27,1,1,3.681818581,25,0,0,0,1,3,,29.1,115,15,12,12,2,14,0,1,5,0,43,21189
Darien Nunez,LAD,AAA,28,6,0,2.680851064,27,0,0,0,0,1,,47,182,26,14,14,4,20,0,1,5,0,72,21197
Bailey Ober,MIN,AAA,25,1,0,2.8125,4,4,0,0,0,0,,16,65,13,5,5,0,5,0,0,0,0,21,21224
Lucas Gilbreath,COL,AAA,25,0,0,0,2,0,0,0,0,0,,1.2,7,1,0,0,0,1,0,0,0,0,3,21290
Andre Jackson,LAD,AAA,25,2,1,5.39999897,4,3,0,0,0,0,,16.2,70,15,11,10,4,4,0,0,0,0,14,21298
Jake Latz,TEX,AAA,25,1,0,3.75,5,4,0,0,0,0,,24,109,25,17,10,5,11,0,1,1,1,23,21306
Tylor Megill,NYM,AAA,25,0,0,3.767442696,3,3,0,0,0,0,,14.1,60,11,6,6,2,5,0,1,0,0,17,21318
Seth Romero,WSN,AAA,25,0,0,2.25,1,1,0,0,0,0,,4,18,4,1,1,0,2,0,1,0,0,5,21333
Glenn Otto,TEX,AAA,25,3,1,3.263736606,6,6,0,0,0,0,,30.1,127,27,11,11,0,10,0,2,2,0,31,21366
Joe Ryan,TBR,AAA,25,4,3,3.409090909,14,13,0,0,0,0,,66,249,40,27,25,9,12,0,3,3,0,92,21390
Daniel Lynch,KCR,AAA,24,4,3,5.842105263,12,11,0,0,0,0,,57,257,74,39,37,10,18,0,3,4,0,62,21537
Reiss Knehr,SDP,AAA,24,0,2,3.115385187,7,4,0,0,1,0,,17.1,72,13,6,6,3,9,0,1,0,0,18,21541
Jackson Kowar,KCR,AAA,24,9,4,3.458678122,17,16,0,0,0,0,,80.2,338,66,31,31,7,34,0,4,14,0,115,21549
Jake Cousins,MIL,AAA,26,1,0,2.076922315,8,0,0,0,1,1,,8.2,35,6,3,2,1,2,0,0,0,0,16,21620
Elvis Peguero,LAA,AAA,24,0,0,0,1,0,0,0,0,0,,2,7,0,0,0,0,1,0,0,0,0,2,21652
Kervin Castro,SFG,AAA,22,6,1,2.863636364,30,0,0,0,1,0,,44,183,31,14,14,3,22,0,2,3,0,60,21656
Edward Cabrera,MIA,AAA,23,1,3,3.681818581,6,6,0,0,0,0,,29.1,129,22,13,12,4,19,0,1,5,0,48,21690
Luis Oviedo,PIT,AAA,22,0,2,8,4,3,0,0,0,0,,9,44,11,8,8,1,6,0,0,3,0,11,21728
Jose Marte,LAA,AAA,25,0,1,10.8,4,0,0,0,0,1,,5,27,9,7,6,0,1,0,1,1,0,6,21761
Braxton Garrett,MIA,AAA,23,5,3,3.963303307,15,15,0,0,0,0,,72.2,302,62,34,32,7,26,0,4,1,0,73,21844
Mason Thompson,SDP,AAA,23,3,2,5.737499316,23,0,0,0,7,3,,26.2,110,25,18,17,4,8,0,0,1,0,24,21850
Gregory Santos,SFG,AAA,21,1,1,5.170211717,14,0,0,0,0,1,,15.2,73,16,9,9,1,9,0,3,3,0,15,21894
Camilo Doval,SFG,AAA,23,3,0,4.989129918,28,0,0,0,1,1,,30.2,144,28,18,17,3,24,0,3,3,0,44,21992
Angel Rondon,STL,AAA,23,5,4,4.700893498,17,13,0,0,0,0,,74.2,332,84,46,39,15,21,0,3,1,1,65,22036
John King,TEX,AAA,26,0,0,0,2,0,0,0,0,0,,2,8,1,0,0,0,1,0,0,0,0,2,22051
Aaron Fletcher,SEA,AAA,25,4,0,4.007812022,34,0,0,0,2,1,,42.2,186,47,20,19,6,12,3,4,2,0,41,22052
Kyle Tyler,LAA,AAA,24,1,2,5.142857143,5,2,0,0,0,0,,14,63,20,8,8,1,3,0,0,0,0,19,22092
Max Kranick,PIT,AAA,23,4,4,4.141104682,12,12,0,0,0,0,,54.1,231,53,30,25,6,16,0,2,0,0,45,22175
Mac Sceroler,BAL,AAA,26,0,0,16.6153968,2,2,0,0,0,0,,4.1,25,8,8,8,2,2,0,1,0,0,10,22218
Paul Campbell,MIA,AAA,25,0,0,0.843749749,3,3,0,0,0,0,,10.2,41,3,1,1,1,6,0,0,0,0,9,22248
Logan Gilbert,SEA,AAA,24,1,0,1.8,1,1,0,0,0,0,,5,18,4,1,1,0,0,0,0,0,0,5,22250
Joe Barlow,TEX,AAA,25,0,1,2.571428571,17,0,0,0,7,0,,21,79,8,6,6,1,8,0,1,1,0,29,22296
Chris Rodriguez,LAA,AAA,22,0,1,5.869562784,3,2,0,0,0,0,,7.2,35,7,5,5,1,6,0,0,2,1,5,22310
A.J. Alexy,TEX,AAA,23,0,0,1.840908692,3,3,0,0,0,0,,14.2,57,9,3,3,2,6,0,0,1,0,19,22343
Stephen Ridings,NYY,AAA,25,1,0,2.7,8,0,0,0,1,1,,10,40,8,6,3,2,2,0,0,0,0,12,22358
Nivaldo Rodriguez,DET,AAA,24,4,2,4.982142857,21,9,0,0,0,0,,56,254,61,38,31,10,28,0,0,4,0,40,22449
Johan Oviedo,STL,AAA,23,1,6,6.270967125,11,11,0,0,0,0,,51.2,233,53,37,36,7,27,0,5,3,1,56,22487
Carlos Hernandez,KCR,AAA,24,2,1,4.443038511,6,6,0,0,0,0,,26.1,113,28,15,13,6,6,0,3,1,0,26,22713
Luis Patino,TBR,AAA,21,3,1,3.068182151,7,7,0,0,0,0,,29.1,122,23,10,10,2,11,0,2,0,1,41,22815
Spencer Howard,TEX,AAA,24,1,1,1.521126556,7,7,0,0,0,0,,23.2,94,16,4,4,1,9,0,0,2,0,31,23252
Packy Naughton,LAA,AAA,25,2,2,4.764705455,13,9,0,0,0,1,,56.2,244,69,30,30,7,13,0,0,4,0,53,23292
Damon Jones,PHI,AAA,26,1,3,5.495574479,29,0,0,0,1,0,,37.2,178,35,23,23,3,33,1,3,4,1,49,23310
Nick Snyder,TEX,AAA,25,1,0,6.230773802,5,0,0,0,0,0,,4.1,17,3,3,3,1,1,0,0,0,0,5,23493
Aaron Ashby,MIL,AAA,23,5,4,4.405263512,21,12,0,0,0,2,,63.1,276,55,35,31,4,32,0,2,4,0,100,23550
Justin Bruihl,LAD,AAA,24,3,0,3.573528911,18,1,0,0,0,0,,22.2,94,22,11,9,2,7,2,1,0,0,30,23779
Ryan Weathers,SDP,AAA,21,1,0,3.6,2,2,0,0,0,0,,10,43,13,4,4,2,2,0,0,0,0,11,23796
Randy Dobnak,MIN,AAA,26,0,1,3,4,4,0,0,0,0,,18,75,15,6,6,0,10,0,1,0,0,13,23798
Corey Kluber,NYY,AAA,35,1,0,9,1,0,0,0,0,0,,3,13,2,3,3,1,2,0,0,0,0,4,2429
Nick Allgeyer,TOR,AAA,25,4,5,5.4453785,20,15,0,0,0,0,,79.1,371,88,53,48,12,49,0,3,4,0,71,24486
Josiah Gray,LAD,AAA,23,1,1,2.872339843,4,3,0,0,0,0,,15.2,57,8,5,5,3,2,0,0,1,0,22,24580
Jonathan Stiever,CHW,AAA,24,5,5,5.837837838,17,17,0,0,0,0,,74,335,80,51,48,13,28,0,3,12,1,88,24584
Andrew Wantz,LAA,AAA,25,1,0,1.780219967,12,5,0,0,0,0,,30.1,116,22,9,6,2,6,0,0,2,0,30,24933
Austin Warren,LAA,AAA,25,2,3,6.192661417,22,1,0,0,1,2,,36.1,166,42,26,25,5,18,0,2,1,0,45,24937
Cooper Criswell,LAA,AAA,24,2,4,6.75,7,7,0,0,0,0,,36,165,49,28,27,7,9,0,7,0,1,35,24975
Alex Vesia,LAD,AAA,25,0,0,1,9,0,0,0,2,0,,9,32,3,1,1,0,3,0,1,0,0,19,25007
Nick Mears,PIT,AAA,24,2,2,5.303570525,17,0,0,0,1,1,,18.2,82,16,12,11,2,9,0,2,0,0,25,25376
Brady Singer,KCR,AAA,24,0,2,13.4999908,2,2,0,0,0,0,,4.2,23,8,7,7,1,1,0,1,1,0,2,25377
Sammy Long,SFG,AAA,25,1,0,2.492307327,8,3,0,0,0,0,,21.2,84,12,6,6,2,8,0,0,0,0,27,25379
Drew Rasmussen,TBR,AAA,25,2,0,0,8,1,0,0,1,0,,11.1,42,5,0,0,0,2,0,2,0,0,23,25385
Alek Manoah,TOR,AAA,23,3,0,0.5,3,3,0,0,0,0,,18,66,7,1,1,1,3,0,4,0,0,27,26410
Kwang Hyun Kim,STL,AAA,32,0,0,9,1,1,0,0,0,0,,2,8,2,2,2,2,0,0,0,0,0,2,27458
Reid Detmers,LAA,AAA,21,1,0,0,1,1,0,0,0,0,,6,22,3,0,0,0,0,0,1,1,0,9,27468
Kohei Arihara,TEX,AAA,28,0,0,0,1,1,0,0,0,0,,2,8,2,1,0,0,1,0,0,0,0,0,27505
Hyeon-Jong Yang,TEX,AAA,33,0,3,5.6,10,9,0,0,0,0,,45,195,52,32,28,10,10,0,1,3,0,42,27513
Hirokazu Sawamura,BOS,AAA,33,0,0,0,1,1,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,1,27515
Zach McAllister,PHI,AAA,33,1,1,4.5,8,0,0,0,0,1,,8,40,10,5,4,1,6,1,0,1,0,8,2895
T.J. McFarland,STL,AAA,32,2,2,4.64516129,22,0,0,0,2,0,,31,132,29,17,16,3,7,1,4,3,0,34,3237
Zack Britton,NYY,AAA,33,0,0,27.00006679,2,1,0,0,0,0,,1.1,8,3,4,4,1,2,0,0,0,0,1,3240
